"Cod Cliente","Cliente","UF","Cidade","Região"
"00012","Eduardo Goncalves Rodrigues","AC ","RIO BRANCO ","NO"
"00022","Sofia Costa Cardoso","AL ","MACEIO ","NE"
"00032","Leonor Goncalves Castro","AL ","MACEIO ","NE"
"00042","Julia Lima Alves","AL ","MACEIO ","NE"
"00052","Luis Lima Ferreira","AL ","MACEIO ","NE"
"00062","Kaua Lima Araujo","MG ","Machado ","SU"
"00072","Júlio Almeida Silva","AL ","MACEIO ","NE"
"00082","Luís Oliveira Ribeiro","SP ","ARARAQUARA ","SU"
"00092","Renan Santos Alves","AL ","MACEIO ","NE"
"000102","Ágatha Fernandes Oliveira","MG ","Para de Minas ","SU"
"000112","Bianca Alves Sousa","AL ","MACEIO ","NE"
"000122","Manuela Sousa Gomes","AL ","MACEIO ","NE"
"000132","Diego Barros Carvalho","MG ","MACHADO ","SU"
"000142","Kaua Carvalho Almeida","SP ","ARARAQUARA ","SU"
"000152","Isabela Correia Goncalves","SP ","ARARAQUARA ","SU"
"000162","Anna Almeida Ribeiro","AM ","MANAUS ","NO"
"000172","Luis Dias Alves","AM ","MANAUS ","NO"
"000182","João Azevedo Oliveira","PA ","MARABA ","NO"
"000192","Kaua Costa Cavalcanti","MG ","MANTENA ","SU"
"000202","Gabriela Pereira Dias","RS ","Marau ","SU"
"000222","Bruno Fernandes Almeida","AM ","MANAUS ","NO"
"000232","Brenda Araujo Souza","AM ","MANAUS ","NO"
"000252","Melissa Fernandes Lima","SP ","SANTA CRUZ DAS PALMEIRAS ","SU"
"000262","Ágatha Silva Rodrigues","SP ","VOTUPORANGA ","SU"
"000282","Tânia Carvalho Fernandes","MG ","SANTA BARBARA ","SU"
"000292","Júlio Carvalho Sousa","BA ","SALVADOR ","NE"
"000302","Diogo Souza Fernandes","SC ","Itajai ","SU"
"000312","Marina Barros Fernandes","SP ","ITAPEVA ","SU"
"000322","Antônio Gomes Barbosa","SP ","ITAPEVA ","SU"
"000332","Rebeca Alves Sousa","RS ","Santa Maria ","SU"
"000342","Gabriel Sousa Castro","BA ","SALVADOR ","NE"
"000352","Carlos Silva Cunha","SP ","Santos ","SU"
"000362","Daniel Fernandes Correia","SC ","Florianopolis ","SU"
"000372","Murilo Souza Barbosa","BA ","SALVADOR ","NE"
"000382","Sophia Souza Araujo","MG ","SANTA BARBARA ","SU"
"000392","Thiago Gomes Rodrigues","BA ","SALVADOR ","NE"
"000402","Leonor Souza Rocha","BA ","Salvador ","NE"
"000412","Kaua Sousa Goncalves","0","0","Exterior"
"000422","Vitor Cavalcanti Carvalho","BA ","SALVADOR ","NE"
"000432","Mariana Melo Oliveira","BA ","SALVADOR ","NE"
"000442","Thaís Goncalves Correia","SP ","ITATIBA ","SU"
"000452","Beatriz Almeida Fernandes","BA ","SALVADOR ","NE"
"000472","Tomás Correia Dias","SP ","PIRACAIA ","SU"
"000482","Julia Pereira Araujo","MG ","ITABIRA ","SU"
"000492","Gabriela Lima Correia","BA ","SALVADOR ","NE"
"000502","Guilherme Correia Santos","SP ","PIRACICABA ","SU"
"000512","Sarah Alves Goncalves","CE ","FORTALEZA ","NE"
"000522","Igor Correia Carvalho","BA ","SALVADOR ","NE"
"000532","Beatrice Rodrigues Lima","BA ","SALVADOR ","NE"
"000542","Vitór Martins Castro","0","0","Exterior"
"000552","Arthur Cardoso Araujo","0","0","Exterior"
"000562","Marisa Dias Ribeiro","SP ","SANTANA DE PARNAIBA ","SU"
"000572","Vitoria Sousa Correia","CE ","FORTALEZA ","NE"
"000582","Kauan Araujo Cardoso","BA ","SALVADOR ","NE"
"000592","Kaua Cardoso Silva","SP ","Itatiba ","SU"
"000602","Pedro Ribeiro Barbosa","BA ","SALVADOR ","NE"
"000612","Vitór Melo Azevedo","CE ","FORTALEZA ","NE"
"000622","Nicolas Cunha Martins","PR ","LONDRINA ","SU"
"000632","Vinícius Costa Cunha","BA ","SALVADOR ","NE"
"000642","Diego Araujo Lima","CE ","FORTALEZA ","NE"
"000652","Amanda Almeida Dias","RS ","Santiago ","SU"
"000662","Erick Araujo Rodrigues","MG ","SANTA LUZIA ","SU"
"000672","Bruno Rocha Almeida","CE ","FORTALEZA ","NE"
"000682","Marina Martins Barros","MT ","Tangara da Serra ","SU"
"000692","Rafael Dias Almeida","MT ","TANGARA DA SERRA ","SU"
"000702","Tomás Goncalves Azevedo","MG ","Juiz de Fora ","SU"
"000712","Carolina Almeida Castro","CE ","FORTALEZA ","NE"
"000722","André Carvalho Cunha","SP ","Franca ","SU"
"000732","Paulo Cardoso Martins","CE ","FORTALEZA ","NE"
"000742","Rebeca Azevedo Araujo","PR ","Foz do Iguacu ","SU"
"000752","Daniel Correia Melo","MG ","Juiz de Fora ","SU"
"000762","Raissa Carvalho Souza","CE ","Fortaleza ","NE"
"000772","Rodrigo Silva Almeida","RS ","MONTENEGRO ","SU"
"000782","Victor Fernandes Alves","SP ","JUNDIAI ","SU"
"000792","Clara Carvalho Souza","SP ","FRANCA ","SU"
"000802","Marisa Sousa Cardoso","CE ","FORTALEZA ","NE"
"000812","Sofia Lima Costa","SP ","FRANCA ","SU"
"000822","Lara Fernandes Correia","GO ","GOIANIA ","SU"
"000832","Miguel Dias Ferreira","GO ","GOIANIA ","SU"
"000842","Pedro Araujo Barros","CE ","FORTALEZA ","NE"
"000852","Julia Lima Dias","SP ","Franca ","SU"
"000862","Gabriela Carvalho Lima","SP ","JUNDIAI ","SU"
"000872","Fábio Barros Alves","CE ","Fortaleza ","NE"
"000882","Tiago Cavalcanti Martins","SP ","FRANCO DA ROCHA ","SU"
"000892","Mateus Souza Rocha","SP ","JUNDIAI ","SU"
"000902","Yasmin Almeida Cunha","CE ","FORTALEZA ","NE"
"000912","Bianca Castro Ribeiro","CE ","Fortaleza ","NE"
"000922","Tânia Fernandes Rodrigues","PE ","VITORIA DE SANTO ANTAO ","NE"
"000932","Otávio Ferreira Correia","GO ","GOIANIA ","SU"
"000942","André Barros Carvalho","CE ","FORTALEZA ","NE"
"000952","Isabella Cavalcanti Souza","SP ","FRANCA ","SU"
"000962","Giovana Barros Goncalves","GO ","GOIANIA ","SU"
"000972","Giovanna Cunha Melo","CE ","FORTALEZA ","NE"
"000982","Mariana Souza Santos","MG ","TIMOTEO ","SU"
"000992","Matilde Dias Cardoso","BA ","Teixeira de Freitas ","NE"
"0001002","Felipe Cavalcanti Melo","GO ","GOIANIA ","SU"
"0001012","Diego Cavalcanti Almeida","GO ","GOIANIA ","SU"
"0001022","Luana Silva Martins","SC ","LAGES ","SU"
"0001032","Eduarda Pereira Oliveira","GO ","GOIANIA ","SU"
"0001052","Alice Correia Castro","PR ","Foz do Iguacu ","SU"
"0001062","Paulo Martins Silva","PR ","Foz do Iguacu ","SU"
"0001072","Kauê Silva Gomes","ES ","Colatina ","SU"
"0001082","Diogo Cunha Cavalcanti","GO ","GOIANIA ","SU"
"0001092","Renan Dias Silva","GO ","GOIANIA ","SU"
"0001102","Gabriela Pinto Lima","GO ","GOIANIA ","SU"
"0001122","Eduarda Oliveira Cunha","GO ","GOIANIA ","SU"
"0001132","Ágatha Melo Sousa","PB ","JOAO PESSOA ","NE"
"0001142","Davi Rocha Lima","GO ","GOIANIA ","SU"
"0001152","Gabrielle Ferreira Lima","BA ","LAURO DE FREITAS ","NE"
"0001162","André Gomes Dias","MT ","CACERES ","SU"
"0001172","Enzo Martins Pereira","SP ","CAJAMAR ","SU"
"0001182","Danilo Almeida Cavalcanti","RO ","CACOAL ","NO"
"0001192","Raissa Correia Carvalho","SP ","CAMPINAS ","SU"
"0001202","Anna Costa Souza","PB ","CAMPINA GRANDE ","NE"
"0001212","Emilly Santos Gomes","SP ","CAMPINAS ","SU"
"0001222","André Lima Oliveira","SP ","CAMPINAS ","SU"
"0001232","Arthur Cavalcanti Ribeiro","SP ","CAMPINAS ","SU"
"0001242","Julian Castro Rodrigues","RN ","Caico ","NE"
"0001252","Julia Goncalves Silva","PB ","CAMPINA GRANDE ","NE"
"0001262","Breno Pereira Sousa","SP ","CAMPINAS ","SU"
"0001272","Kai Rocha Souza","SP ","CAMPINAS ","SU"
"0001282","Rebeca Dias Rodrigues","PB ","CAMPINA GRANDE ","NE"
"0001292","Otávio Azevedo Alves","PB ","CAMPINA GRANDE ","NE"
"0001302","Giovana Rodrigues Silva","SP ","CAMPINAS ","SU"
"0001312","João Alves Martins","SP ","CAMPINAS ","SU"
"0001322","Giovana Pinto Sousa","SP ","Campinas ","SU"
"0001332","Kauã Cardoso Oliveira","BA ","CAMACARI ","NE"
"0001342","Rodrigo Silva Araujo","SP ","CAMPINAS ","SU"
"0001352","Sophia Sousa Cavalcanti","PB ","Campina Grande ","NE"
"0001362","Gabriela Barros Santos","PB ","CAMPINA GRANDE ","NE"
"0001372","Camila Carvalho Cardoso","SP ","CAMPINAS ","SU"
